roll no,Name,Chemistry,Physics,Math,Percentage,grade
101,Aliza,50,23,87,53.33,D
102,Fareed,45,24,88,52.33,D
103,Basit,46,25,89,53.33,D
104,Abdullah,47,26,90,54.33,D
105,Ali,48,27,67,47.33,F
106,Mubashir,49,28,68,48.33,F
107,Waleed,50,29,69,49.33,F
108,Mansoor,51,30,70,50.33,D
109,Zain,52,31,71,51.33,D
110,Mohsin,53,67,72,64.0,C
111,Shahmeer,54,68,73,65.0,C
112,Rao,55,69,74,66.0,C
113,Aurangzeb,56,70,75,67.0,C
114,Zeeshan,57,71,76,68.0,C
115,Hamna,58,72,77,69.0,C
116,Hamza,59,73,78,70.0,B
117,Khalid,60,74,79,71.0,B
118,Behroz,61,75,80,72.0,B
119,Justin,62,76,81,73.0,B
120,Danish,63,77,82,74.0,B
121,Kainat,64,78,83,75.0,B
122,Sameer,65,79,84,76.0,B
123,Raza,66,80,85,77.0,B
124,Kumar,67,81,86,78.0,B
125,Komal,68,82,87,79.0,B
126,Erum,69,83,88,80.0,A
127,Faiza,70,84,89,81.0,A
128,Saeed,71,85,90,82.0,A
129,Waqar,72,86,91,83.0,A
130,Wali,73,87,92,84.0,A
131,Wajid,74,88,93,85.0,A
132,Waseeb,75,89,94,86.0,A
133,Shiza,76,90,95,87.0,A
134,Shabina,77,91,96,88.0,A
135,Shazain,78,55,97,76.67,B
136,Lubna,79,61,98,79.33,B
137,Laiba,80,88,78,82.0,A
138,Khursheed,81,56,45,60.67,C
139,Ali,82,89,46,72.33,B
140,Aiza,83,45,89,72.33,B
141,Aiman,84,92,78,84.67,A
142,Yasmeen,85,36,56,59.0,D
143,Tasbeel,86,78,78,80.67,A
144,Laraib,87,56,54,65.67,C
145,Saleem,88,78,78,81.33,A
146,Bismil,89,89,46,74.67,B
147,Batool,90,56,79,75.0,B
148,Iqra,91,33,46,56.67,D
149,Zarnish,92,78,45,71.67,B
150,Zara,83,45,56,61.33,C
